"horse_no","horse_name","horse_gender","sire_name","dam_name","foal_year","race_year","age","gait","ytd_Starts","ytd_wins","ytd_places","ytd_shows","annual_earnings","rec_type","rec_time","rec_size","rec_track","ytd_htype"
"6PN223","LADY JACKIE","M","BADLANDS HANOVER","LADY LESLIE",2016,2019,3,"P",4,0,0,1,593,NA,0,NA,NA,"DOM"
"6PN736","LOVELY DONNA","M","BETTERTHANCHEDDAR","FAMILY LOVE",2016,2018,2,"P",5,0,1,2,5254,"Q",1572,"S","Wbsb","DOM"
"6PN736","LOVELY DONNA","M","BETTERTHANCHEDDAR","FAMILY LOVE",2016,2019,3,"P",16,5,4,1,84203,NA,1520,"S","Wbsb","DOM"
"6PN736","LOVELY DONNA","M","BETTERTHANCHEDDAR","FAMILY LOVE",2016,2020,4,"P",10,2,1,1,20572,NA,1513,"S","Wbsb","DOM"
"6PN736","LOVELY DONNA","M","BETTERTHANCHEDDAR","FAMILY LOVE",2016,2021,5,"P",22,7,2,0,86235,NA,1493,"M","M","DOM"
"6PN736","LOVELY DONNA","M","BETTERTHANCHEDDAR","FAMILY LOVE",2016,2022,6,"P",1,0,0,0,0,NA,0,NA,NA,"DOM"
"1P1215","LYONS SAMUAL","G","ART MAJOR","FLIRTWITHEDEALER",2016,2018,2,"P",8,1,1,0,3095,NA,1570,"S","VD","DOM"
"2P3672","ZERO TOLERANCE","M","HESTON BLUE CHIP","FEELINGLIKEASTAR",2016,2018,2,"P",13,7,5,1,485813,NA,1510,"M","Lex","DOM"
"2P3672","ZERO TOLERANCE","M","HESTON BLUE CHIP","FEELINGLIKEASTAR",2016,2019,3,"P",14,7,2,1,494923,NA,1502,"F","TgDn","DOM"
"2P3672","ZERO TOLERANCE","M","HESTON BLUE CHIP","FEELINGLIKEASTAR",2016,2020,4,"P",2,0,0,0,0,"Q",1512,"M","Gty","DOM"
"2P3102","OFFICER JIM","G","AMERICAN IDEAL","FREEDOM CROSSING",2016,2018,2,"P",0,0,0,0,0,"Q",2020,"F","Mea","DOM"
"2P3102","OFFICER JIM","G","AMERICAN IDEAL","FREEDOM CROSSING",2016,2019,3,"P",8,4,0,2,12210,NA,1554,"F","Aces","DOM"
"2P3102","OFFICER JIM","G","AMERICAN IDEAL","FREEDOM CROSSING",2016,2020,4,"P",14,2,4,4,10106,NA,1564,"F","Aces","DOM"
"2P3102","OFFICER JIM","G","AMERICAN IDEAL","FREEDOM CROSSING",2016,2021,5,"P",22,9,3,3,27014,NA,1534,"F","Aces","DOM"
"2P3102","OFFICER JIM","G","AMERICAN IDEAL","FREEDOM CROSSING",2016,2022,6,"P",34,6,5,6,29504,NA,1523,"M","CalX","DOM"
"2P3102","OFFICER JIM","G","AMERICAN IDEAL","FREEDOM CROSSING",2016,2023,7,"P",16,12,0,0,51217,NA,1503,"M","CalX","DOM"
"1P9739","WIND SUN N FIRE","G","DELMARVALOUS","WINDSUN CAPRICE",2016,2018,2,"P",0,0,0,0,0,NA,0,NA,NA,"DOM"
"1P9739","WIND SUN N FIRE","G","DELMARVALOUS","WINDSUN CAPRICE",2016,2019,3,"P",13,0,3,2,6918,"Q",2032,"F","Aces","DOM"
"1P9739","WIND SUN N FIRE","G","DELMARVALOUS","WINDSUN CAPRICE",2016,2020,4,"P",20,1,3,3,9436,NA,1592,"F","Mea","DOM"
"5P6371","SPRING IN PARIS","M","EXPLOSIVE MATTER","FRENCH DOLL",2016,2018,2,"T",9,1,2,1,27751,NA,1582,"F","Phl","DOM"
"5P6371","SPRING IN PARIS","M","EXPLOSIVE MATTER","FRENCH DOLL",2016,2019,3,"T",15,7,1,1,70913,NA,1551,"F","Phl","DOM"
"5P6371","SPRING IN PARIS","M","EXPLOSIVE MATTER","FRENCH DOLL",2016,2020,4,"T",7,0,1,1,4348,"Q",2023,"S","Wbsb","DOM"
"5P6371","SPRING IN PARIS","M","EXPLOSIVE MATTER","FRENCH DOLL",2016,2021,5,"T",7,0,1,1,4155,NA,0,NA,NA,"DOM"
"5P6371","SPRING IN PARIS","M","EXPLOSIVE MATTER","FRENCH DOLL",2016,2022,6,"T",18,0,1,3,8348,NA,0,NA,NA,"DOM"
"2P7251","SMART TALKER","G","WELL SAID","WISHFORA FULLHOUSE",2016,2018,2,"P",9,1,0,0,6550,NA,1562,"F","Phl","DOM"
"2P7251","SMART TALKER","G","WELL SAID","WISHFORA FULLHOUSE",2016,2019,3,"P",27,1,3,4,17796,NA,1580,"H","Fhld","DOM"
"2P7251","SMART TALKER","G","WELL SAID","WISHFORA FULLHOUSE",2016,2020,4,"P",22,1,3,2,12240,NA,1584,"H","MR","DOM"
"2P7251","SMART TALKER","G","WELL SAID","WISHFORA FULLHOUSE",2016,2021,5,"P",35,3,5,7,17987,NA,1580,"H","MR","DOM"
"2P7251","SMART TALKER","G","WELL SAID","WISHFORA FULLHOUSE",2016,2022,6,"P",34,9,6,2,38258,NA,1554,"H","MR","DOM"
"2P7251","SMART TALKER","G","WELL SAID","WISHFORA FULLHOUSE",2016,2023,7,"P",36,10,3,3,48019,NA,1550,"H","MR","DOM"
"5P0531","WALKING TRAIL","G","WESTERN IDEAL","WALK SOFTLY",2016,2018,2,"P",0,0,0,0,0,NA,0,NA,NA,"DOM"
"5P0531","WALKING TRAIL","G","WESTERN IDEAL","WALK SOFTLY",2016,2019,3,"P",29,0,1,3,6042,"Q",2001,"F","DD","DOM"
